Mês;Preço (€);Quantidade;Receita (€);Custo Var. (€);Logística (€);Defeitos (€);Marketing (€);Fixos (€);Custo Total (€);Lucro (€);Margem (%);Capacidade (unid.)
Jan;18;4841,772975;87151,91355;23240,51028;1936,70919;2501,582704;4000;0;31678,80217;55473,11138;0,636510538;12975
Fev;18;4454,431137;80179,76047;21381,26946;1781,772455;2301,456087;4000;0;29464,498;50715,26247;0,632519506;12975
Mar;18;4841,772975;87151,91355;23240,51028;1936,70919;2501,582704;4000;0;31678,80217;55473,11138;0,636510538;12975
Abr;18;4841,772975;87151,91355;23240,51028;1936,70919;2501,582704;4000;0;31678,80217;55473,11138;0,636510538;12975
Mai;18;4841,772975;87151,91355;23240,51028;1936,70919;2501,582704;4000;0;31678,80217;55473,11138;0,636510538;12975
Jun;18;5422,785732;97610,14318;26029,37151;2169,114293;2801,772628;4000;0;35000,25843;62609,88474;0,64142806;12975
Jul;18;4841,772975;87151,91355;23240,51028;1936,70919;2501,582704;4000;0;31678,80217;55473,11138;0,636510538;12975
Ago;18;4841,772975;87151,91355;23240,51028;1936,70919;2501,582704;4000;0;31678,80217;55473,11138;0,636510538;12975
Set;18;4454,431137;80179,76047;21381,26946;1781,772455;2301,456087;4000;0;29464,498;50715,26247;0,632519506;12975
Out;18;4841,772975;87151,91355;23240,51028;1936,70919;2501,582704;4000;0;31678,80217;55473,11138;0,636510538;12975
Nov;18;4841,772975;87151,91355;23240,51028;1936,70919;2501,582704;4000;0;31678,80217;55473,11138;0,636510538;12975
Dez;18;5422,785732;97610,14318;26029,37151;2169,114293;2801,772628;4000;0;35000,25843;62609,88474;0,64142806;12975
Total 2025 antes investimento;;;1052795,116;280745,3642;23395,44702;30219,11906;48000;0;382359,9303;670435,1854;;
Custo Investimentos 2025;;;;;;;;;;-134031;;
Lucro 2025 após investimentos;;;;;;;;;;536404,1854;;
